,minimized2hits_rmsd,reference2hits_rmsd,reference2minimized_rmsd,name,smiles,mode,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,rdock,n_inspirations,crystal_code,fraction_overlapping,rdock_free,rdock_free_top10,rdock_pharm,rdock_pharm_top10,old_RMSD,filtered_reference2minimized_rmsd,based_on_x0434,overlap_%
DAR-DIA-23aa0b97-6,0.7069535203957893,0.683324806857373,0.6207610919937983,DAR-DIA-23aa0b97-6,N#Cc1cncc(NC(=O)Cc2cccnc2)c1,expansion,-5.414976815058667,-4.8484748873825385,0.5665019276761281,0.7069535203957893,19,0,49.58113980293274,"['x0305', 'x0434']",[],7.070663,2,x10178,1.0,5.690688,5.690688,,,7.114768,0.6207610919937983,True,100.0
DAR-DIA-23aa0b97-13,0.9425989217438813,0.6595690512246107,0.6246800069724587,DAR-DIA-23aa0b97-13,Nc1cncc(NC(=O)Nc2cccc(Cl)c2)c1,expansion,-5.735418433598476,-5.145456585136717,0.5899618484617594,0.9425989217438813,21,0,77.61273121833801,"['x0104', 'x0995', 'x0434']",[],7.057672,3,x2964,1.0,7.729285,6.88201,,,0.779917,0.6246800069724587,True,100.0
DAR-DIA-23aa0b97-14,0.9086293206936713,0.6921636242671385,0.49115158795726316,DAR-DIA-23aa0b97-14,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,expansion,-6.210293309779825,-5.730186577624487,0.4801067321553379,0.9086293206936713,21,0,62.196492195129395,"['x0104', 'x0995', 'x0434']",[],5.026616,3,x10996,1.0,6.086111,5.491743,,,1.718833,0.49115158795726316,True,100.0
DAR-DIA-23aa0b97-17,0.5949635955249698,0.5490607130970734,0.5123784408683355,DAR-DIA-23aa0b97-17,N#Cc1cncc(CC(=O)Nc2cccnc2)c1,expansion,-3.603303293497275,-3.080013889248912,0.523289404248363,0.5949635955249698,19,0,70.28439497947693,"['x0305', 'x0434']",[],3.261701,2,x2569,1.0,5.999915,5.918524,,,0.612123,0.5123784408683355,True,100.0
DAR-DIA-23aa0b97-20,1.6547731393931744,1.792594274601292,2.3895673457762183,DAR-DIA-23aa0b97-20,O=C(Cc1cncc2ccccc12)Nc1ccccc1,expansion,-0.6135309031327768,-0.07103252149523798,0.5424983816375388,1.6547731393931744,23,2,89.93879914283752,"['x1093', 'x0434']",[],7.394043,2,x2563,0.85,6.941342,6.915921,,,1.578931,2.3895673457762183,True,85.0
DAR-DIA-842b4336-3,0.5915629193078281,1.033403025203623,1.1132768074472765,DAR-DIA-842b4336-3,Cc1ccc(NC(=O)Nc2cccnc2)s1,expansion,-8.22227336562179,-7.840373662096491,0.3818997035252988,0.5915629193078281,16,0,77.36183595657349,['x0434'],[],2.796876,1,x2608,0.9375,7.056662,2.398406,2.24484,2.099575,0.788464,1.1132768074472765,True,93.75
DAR-DIA-842b4336-13,0.6871043861743282,0.6600156721624116,0.6121445907626726,DAR-DIA-842b4336-13,O=C(Cc1ccc(Cl)s1)Nc1cccnc1,expansion,-5.052399993061444,-4.651185681909498,0.4012143111519462,0.6871043861743282,16,0,55.07515287399292,['x0434'],[],2.936684,1,x2643,1.0,6.064245,5.370567,2.318712,1.683443,1.301014,0.6121445907626726,True,100.0
WAR-XCH-eb7b662f-7,0.7288999131110752,0.44808083509854385,0.4575866359628138,WAR-XCH-eb7b662f-7,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,expansion,-7.095146722504899,-6.550110751289312,0.5450359712155873,0.7288999131110752,18,0,52.76430320739746,"['x0305', 'x0434']",[],3.160064,2,x10996,1.0,6.066687,2.630992,,,1.644605,0.4575866359628138,True,100.0
TRY-UNI-714a760b-3,1.133244442085308,1.8422228081858067,2.0292568123641512,TRY-UNI-714a760b-3,Cc1c(N)cncc1NC(=O)Cc1cccc(Cl)c1,expansion,-4.458113816636196,-4.16641838131157,0.2916954353246261,1.133244442085308,22,2,867.9563498497009,"['x1382', 'x0434']",['x0995'],5.050877,2,x11317,0.8947368421052632,5.931746,2.530848,,,1.98593,2.0292568123641512,True,89.47368421052632
TRY-UNI-714a760b-6,1.1123852288824665,1.113183273320256,1.0122250518316345,TRY-UNI-714a760b-6,Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,expansion,-4.1281872778387045,-4.606750594896632,-0.47856331705792804,1.1123852288824665,22,1,69.574786901474,"['x0107', 'x1382', 'x0434']",[],7.158003,3,x2646,1.0,4.920502,1.811337,,,1.611907,1.0122250518316345,True,100.0
TRY-UNI-714a760b-12,1.3817364214862176,1.0973084400021718,1.3699555751110242,TRY-UNI-714a760b-12,Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,expansion,-5.790102551324624,-5.179894085782974,0.6102084655416509,1.3817364214862176,23,1,74.34699296951294,"['x0107', 'x1382', 'x0434']",[],3.273217,3,x2908,1.0,7.079277,1.630653,,,1.738928,1.3699555751110242,True,100.0
TRY-UNI-714a760b-16,1.2990055170526924,1.4206974519580162,1.7964758865932797,TRY-UNI-714a760b-16,Cc1ccncc1NC(=O)C(C)C1CCCCC1,expansion,-5.559330467695919,-5.238259022154075,0.3210714455418444,1.2990055170526924,23,1,74.20336484909058,"['x0107', 'x1382', 'x0434']",[],2.129894,3,x11044,0.8888888888888888,6.815259,1.872861,,,1.197696,1.7964758865932797,True,88.88888888888889
TRY-UNI-714a760b-18,1.0759376828775433,1.1108368126067953,1.0145238706952766,TRY-UNI-714a760b-18,Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,expansion,-4.52957681096379,-5.005604581852581,-0.47602777088879117,1.0759376828775433,23,1,62.654237031936646,"['x0107', 'x1382', 'x0434']",[],5.883476,3,x2649,1.0,2.10124,1.445111,,,0.51899,1.0145238706952766,True,100.0
TRY-UNI-714a760b-19,0.8448595544033733,1.031839457796932,2.295975206747669,TRY-UNI-714a760b-19,Cc1c(N)cncc1NC(=O)Cc1cccc(C#N)c1,expansion,-5.9498908499209815,-6.279860162845163,-0.3299693129241816,0.8448595544033733,20,3,77.31773090362549,"['x0107', 'x0995', 'x0434']",[],5.916091,3,x11318,0.85,6.565349,1.417769,,,2.650106,2.295975206747669,True,85.0
TRY-UNI-714a760b-20,0.7312024343504336,0.46807149355298616,0.5750907937470668,TRY-UNI-714a760b-20,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,expansion,-6.911794321677282,-7.280602250795022,-0.36880792911774,0.7312024343504336,17,3,52.622801780700684,"['x0107', 'x0434']",[],3.490529,2,x2572,0.8947368421052632,6.026795,1.882378,2.430933,1.566796,2.838907,0.5750907937470668,True,89.47368421052632
TRY-UNI-714a760b-22,0.7809923026151961,0.6404840431453461,0.7994637577776744,TRY-UNI-714a760b-22,Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,expansion,-7.963734677401053,-7.746426703211574,0.21730797418947884,0.7809923026151961,18,3,65.2762839794159,"['x0107', 'x0678', 'x0434']",[],6.732902,3,x2912,0.85,2.41633,1.549575,2.409916,1.498438,1.95239,0.7994637577776744,True,85.0
ADA-UNI-f8e79267-2,1.2068257699537204,2.079050043489414,2.7393788965987227,ADA-UNI-f8e79267-2,CS(=O)(=O)NCCC(C(=O)Nc1cccnc1)c1ccccc1,expansion,-11.557653000108996,-11.082916318919658,0.47473668118933865,1.2068257699537204,23,3,139.89342403411865,"['x0072', 'x0387', 'x0678']",[],7.618146,3,x10889,0.7391304347826086,5.427737,2.054931,,,2.449636,,False,73.91304347826086
JOR-UNI-2fc98d0b-6,0.8265173089953808,0.902089685120055,1.147589212218379,JOR-UNI-2fc98d0b-6,O=C(Nc1cccnc1)N(CCN1CCOCC1)c1cccc(Cl)c1,expansion,-7.986008248280825,-7.048500090765023,0.9375081575158029,0.8265173089953808,24,5,88.65755915641785,"['x0387', 'x0434']",[],6.27904,2,x10237,0.88,5.286551,2.274345,,,2.247057,1.147589212218379,True,88.0
JOR-UNI-2fc98d0b-7,0.66785351125827,1.2357897019719817,1.7101443351538554,JOR-UNI-2fc98d0b-7,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,expansion,-7.225033036828479,-6.744926175361116,0.4801068614673628,0.66785351125827,16,1,76.87840509414673,['x0434'],[],7.032613,1,x10996,0.9411764705882353,6.070083,1.647894,1.647883,1.588721,1.723011,1.7101443351538554,True,94.11764705882352
JOR-UNI-2fc98d0b-12,1.0029475666397378,6.124680710673194,6.780459910655028,JOR-UNI-2fc98d0b-12,O=C(Nc1cccnc1)N(CCC1CCCCC1)c1cccc(Cl)c1,expansion,-8.995015787963878,-8.097811734065068,0.8972040538988094,1.0029475666397378,23,4,121.20700407028198,"['x0387', 'x0434']",[],5.912388,2,x10236,0.88,3.183622,2.578,,,1.935066,6.780459910655028,True,88.0
DUN-NEW-f8ce3686-14,1.9502246418928648,3.85847962285665,5.430537770441384,DUN-NEW-f8ce3686-14,CS(=O)(=O)NCCN1CCCc2ccc(S(N)(=O)=O)cc21,expansion,-5.462052951652874,-5.59626871388682,-0.13421576223394596,1.9502246418928648,13,8,113.06206011772156,['x0072'],['x1458'],8.65496,1,x10049,0.2857142857142857,5.799818,5.267554,,,3.317089,,False,28.57142857142857
ANN-UNI-26382800-5,0.9046202985868627,2.465724420260031,2.633723557584922,ANN-UNI-26382800-5,N#Cc1cccc(CC(=O)Nc2cccnc2)c1,expansion,-6.4384542653531955,-6.129927022087265,0.30852724326593106,0.9046202985868627,20,0,69.92914485931396,"['x1249', 'x0434']",[],6.600561,2,x2600,1.0,7.386896,2.659108,,,0.60496,2.633723557584922,True,100.0
DAR-DIA-eace69ff-36,0.4566360695345912,33.10994148056069,33.14877793083317,DAR-DIA-eace69ff-36,CNCc1c[nH]c2ccc(F)cc12,expansion,-4.120566497776063,-4.047404904159497,0.0731615936165668,0.4566360695345912,14,0,36.53213715553284,['x0104'],[],32.560441,1,x3351,0.0,35.366203,34.245253,32.618458,32.617866,33.08371,,False,0.0
MAK-UNK-6435e6c2-1,0.3263120123620406,1.4516343325004815,1.4991798869159543,MAK-UNK-6435e6c2-1,CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,expansion,-5.7422898493136385,-5.416339127469416,0.3259507218442225,0.3263120123620406,17,0,37.20674204826355,['x0689'],[],5.641059,1,x0689,1.0588235294117647,7.068903,5.834401,2.233731,1.884074,0.378597,1.4991798869159543,False,100.0
MAK-UNK-6435e6c2-2,0.36504359127289404,6.530462709486978,6.348549017295212,MAK-UNK-6435e6c2-2,CC(=O)N1CCN(Cc2cccs2)CC1,expansion,-4.764153605244222,-4.491040741152881,0.27311286409134056,0.36504359127289404,17,0,33.85016489028931,['x0689'],[],6.503753,1,x2779,0.4,6.224603,2.182081,,,6.503014,,False,40.0
MAK-UNK-6435e6c2-3,0.3817061543062856,6.465829768869577,6.288512771315647,MAK-UNK-6435e6c2-3,CC(=O)N1CCN(Cc2ccsc2)CC1,expansion,-5.641690001211982,-5.4192872003850265,0.2224028008269554,0.3817061543062856,17,0,31.081606149673462,['x0689'],[],6.633918,1,x1386,0.26666666666666666,6.101517,6.052476,,,6.519514,,False,26.666666666666668
MAK-UNK-6435e6c2-4,0.774369190281446,5.184546572909406,5.8291774316289064,MAK-UNK-6435e6c2-4,CC(=O)Nc1cccc(N2CCCC2=O)c1,expansion,-4.037928444648895,-3.663216377716904,0.3747120669319916,0.774369190281446,14,4,25.087432861328125,['x0689'],[],2.877633,1,x1384,0.9375,7.410007,6.806608,6.100813,3.566676,4.746187,5.8291774316289064,False,93.75
MAK-UNK-6435e6c2-5,0.4864030645220801,0.5156633078461403,0.9028574915234412,MAK-UNK-6435e6c2-5,CC(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,expansion,-4.733959934979108,-4.249130308882045,0.4848296260970623,0.4864030645220801,17,2,41.26612305641174,['x0689'],[],4.064317,1,x0691,0.9473684210526315,7.922919,6.167903,2.413056,2.360149,0.716509,0.9028574915234412,False,94.73684210526315
MAK-UNK-6435e6c2-6,0.4838641034301215,0.4724239123299925,0.8507510407477228,MAK-UNK-6435e6c2-6,CC(=O)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,expansion,-4.653243369326727,-3.368740908030341,1.2845024612963858,0.4838641034301215,17,3,36.81534385681152,['x0689'],[],5.629991,1,x0755,0.9,6.924841,6.091004,2.044135,1.816383,0.515072,0.8507510407477228,False,90.0
MAK-UNK-6435e6c2-7,0.5116872269089958,37.57198830097881,38.97823913843894,MAK-UNK-6435e6c2-7,COC(=O)c1cccc(NS(C)(=O)=O)c1,expansion,-2.879072998492491,-2.610898738099486,0.2681742603930052,0.5116872269089958,11,6,29.253690004348755,['x0689'],[],36.587188,1,x0478,0.0,33.862723,32.920891,38.160977,37.788485,38.955693,,False,0.0
MAK-UNK-6435e6c2-8,0.899358104427819,7.547805067258516,7.478538748858752,MAK-UNK-6435e6c2-8,CC(=O)Nc1cnccc1C,expansion,-3.7833059513769483,-3.7302981764366323,0.05300777494031604,0.899358104427819,11,2,26.514533758163452,['x0689'],[],6.708011,1,x0107,0.0,7.110729,6.484599,,,6.551765,,False,0.0
MAK-UNK-6435e6c2-9,1.2296709833417743,29.54567783746042,29.047865470633123,MAK-UNK-6435e6c2-9,CC1C(O)CCCN1Cc1ccccc1,expansion,-4.401623630072137,-4.321383594793842,0.0802400352782956,1.2296709833417743,11,7,61.42025399208069,['x0689'],[],30.706589,1,x0464,0.0,25.625966,25.102097,,,29.244738,,False,0.0
PET-SGC-a8a902d9-1,0.5329527027169797,2.958007930460408,2.9492859941009453,PET-SGC-a8a902d9-1,Cc1ccncc1NC(=O)CC(c1ccsc1)N1CCC(O)CC1,expansion,-8.864598388075109,-7.448896610421278,1.4157017776538303,0.5329527027169797,23,1,69.91809797286987,"['x0107', 'x0387']",[],5.873143,2,x11225,0.7083333333333334,4.838026,2.354466,,,2.932577,,False,70.83333333333334
ALV-UNI-7ff1a6f9-47,0.601775653794668,6.924825588958901,7.755463968302372,ALV-UNI-7ff1a6f9-47,COc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,expansion,-8.44987127961458,-8.062120466164494,0.38775081345008594,0.601775653794668,16,6,107.71844100952148,['x0434'],[],4.316867,1,x2581,0.18181818181818182,8.43215,4.342233,8.130125,6.430576,7.91055,,True,18.181818181818183
GAB-REV-70cc3ca5-4,0.7331633825107098,0.3643317668878689,3.8378635628787965,GAB-REV-70cc3ca5-4,Cc1ccncc1NC(=O)CNc1ccnc2ccccc12,expansion,-5.223984485520876,-4.640329220002444,0.5836552655184314,0.7331633825107098,11,11,2776.270159959793,['x0107'],[],6.206683,1,x10019,0.5,7.768202,4.213928,4.010781,3.507551,4.242238,,False,50.0
GAB-REV-70cc3ca5-8,1.3252390521919224,0.2801835437384183,2.8904639566366135,GAB-REV-70cc3ca5-8,Cc1ccncc1NC(=O)CN(C)S(=O)(=O)c1cccc2cccnc12,expansion,-1.7277498399460784,-1.6039465201421894,0.12380331980388908,1.3252390521919224,11,15,204.25187420845032,['x0107'],[],5.894868,1,x3080,0.4230769230769231,7.608512,5.345654,4.365484,4.365484,4.211101,,False,42.30769230769231
GAB-REV-70cc3ca5-13,0.48906431999370903,0.6773398502430465,2.980541753248416,GAB-REV-70cc3ca5-13,Cc1ccncc1NC(=O)CNC(=O)Cc1cccnc1,expansion,-5.976607468870183,-5.158948688680903,0.8176587801892802,0.48906431999370903,11,10,90.57624077796936,['x0107'],[],5.816508,1,x3108,0.5238095238095238,3.870378,3.322566,3.799346,3.180556,2.524126,,False,52.38095238095239
GAB-REV-70cc3ca5-18,0.4591433723398785,0.3942539559956019,5.275374038871556,GAB-REV-70cc3ca5-18,Cc1ccncc1NC(=O)Cc1ccc2nc[nH]c2c1,expansion,-4.62542004886783,-4.867169230175907,-0.24174918130807718,0.4591433723398785,11,9,85.85613894462585,['x0107'],[],7.242206,1,x3366,0.55,5.913069,2.988088,3.716741,2.925588,5.143004,,False,55.00000000000001
ALE-HEI-f28a35b5-9,0.48155483851789893,0.881702756035162,1.0137168305301039,ALE-HEI-f28a35b5-9,O=C(CC1CCCCC1)Nc1cccnc1,expansion,-5.260226716806369,-4.801816220020867,0.4584104967855025,0.48155483851789893,16,0,81.2093141078949,['x0434'],[],1.479896,1,x0678,0.9375,6.722042,5.788319,,,1.009449,1.0137168305301039,True,93.75
BAR-COM-4e090d3a-39,0.9288017482218691,1.7534409029106168,4.303444946678289,BAR-COM-4e090d3a-39,O=C(Cc1cncnc1)Nc1cccc(OC2CC(=O)N2)c1,expansion,-2.5356086712763277,-2.0210401981433286,0.514568473132999,0.9288017482218691,16,6,115.81368517875671,['x0434'],[],7.619446,1,x2562,0.7272727272727273,4.409937,4.299547,4.434302,0.912262,4.117155,,True,72.72727272727273
BAR-COM-4e090d3a-47,0.6828764071923991,4.169523330070238,5.959884749789147,BAR-COM-4e090d3a-47,Cn1cc(CNC(=O)N(CCc2ccccc2)Cc2cccnc2)nn1,expansion,-5.674681781209739,-4.72439094663512,0.9502908345746193,0.6828764071923991,16,11,94.52033591270447,['x0434'],[],5.850102,1,x3305,0.5769230769230769,8.866012,4.201743,6.586134,6.191917,3.087283,,True,57.692307692307686
BAR-COM-4e090d3a-49,0.5583466665074667,6.683054514431044,6.640821861787892,BAR-COM-4e090d3a-49,N#CCOc1ccccc1C(=O)NCc1cnsc1,expansion,-7.4410303682314085,-5.000141135321978,2.4408892329094307,0.5583466665074667,15,5,43.455464124679565,['x0434'],[],6.556791,1,x2764,0.6842105263157895,6.69398,5.003712,6.295996,5.569453,6.504107,,True,68.42105263157895
BAR-COM-4e090d3a-57,0.548714976103259,3.3059363461809124,3.4241912288055074,BAR-COM-4e090d3a-57,O=C(Nc1ccccc1NS(=O)(=O)c1ccc(F)cc1)C(O)c1cccnc1,expansion,-4.529911101169109,-2.713885253868353,1.816025847300756,0.548714976103259,16,12,53.72758913040161,['x0434'],[],7.420878,1,x3298,0.5357142857142857,6.708492,3.267238,4.489407,2.26705,4.761699,,True,53.57142857142857
